Actif financier,Résultat,Ratio Gains / Pertes,Ordre ✅ ,Tendance de fond 📊 ,STRATEGIE🏦 ,illustration,TF,CLOSING LONDON,"observations ",Arrêt date,Structure 🔰 ,Pourcentage du capital,Win,Lose
EURUSD,Stop loss,,Achat ⬆️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-13_21-39-47_8f5cd.png,30m,,très deçus de moi et mon swing etait pourris non seulement a cause du point d’entré je n’ai pas respecté mes zones je l’ai entrer dans le vide alors qu’il avait un bon fvg qui m’attendais et pouvais repondre a ma configuration je dois êtres plus observateur,,,,0,0
eurusd,Stop loss,,Achat ⬆️,Tendance baissière 📉,Intra Day 🔵,https://www.tradingview.com/x/Cl4M803s/,30m,,ici c’est le point d’entré qui ma tué j’ai pris appuis sur un mauvais fvg qui respecté pas vraiment ma configuration assez deçus parce qu’il avait une bonne formation juste en bas mais bon je commence a capté je continue,,,,0,0
EURUSD,Take profit,"4,98",Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-13_22-19-07_4d087.png,30m,,"TROP PARFAIT ICI J’AI TOUT RESPECTER ET MA STRATEGIE ETAIS TROP BIEN PLACER ET LA CONLFUENCE AVEC GBPUSD ETAIT TROP CUTE assez fier de trade ","CONLFUENCES Identifié
-Tout d'abord tendance baissire
-PD ARRAY QUI PARTAIT DANS LE
SENS DE MA TENDANCE
-BOS POUR REVENIR RETRACER
-FORMATION UNICORNE SI TU REGARDE BIEN
-PLACER EN ZONE OTE
-PD",,,1,0
EURUSD,Take profit,"2,82",Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-13_22-18-45_4100f.png,30m,,IDEM RIEN A DIRE,,,,1,0
EURUSD,Take profit,"3,1",Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-13_22-40-45_b4897.png,30m,,"CONLFUENCES Identifié
-Tout d'abord tendance baissire
-PD ARRAY QUI PARTAIT DANS LE
-formation d'une suite de ob finisalisé en bearish
zone d'ote
-BOS
-et synchronisation des times frames
--trend line baissiere -trend line baissiere +canal baissier
et aussi Bonne coorelation avec gbpusd mais cette fois ci eurusd etait plus fort",,,,1,0
EURJPY,COUPER,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/fIwxnmJ7/,30m,,je me suis fait sortir sl trop cours a mon avis,,,,0,0
EURUSD,Take profit,"2,66",Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-13_23-12-43_a3a32.png,30m,,"strategie respecté a la lettre
CONLFUENCES Identifié
-Tout d'abord tendance baissire
-formation d'un modèle unicorn OB+IFVG
-FORMATION D'un AMD
-recup de la liquidité en haut avant la formation
de l'OB
-Target le ob qui etait en bas
-le matin LE PDL avait etait depassé par le body
du candle daily.
-zonz D'OTE",,,,1,0
TRADE,Observation,,,,,,,,,,,,0,0
eurusd,Stop loss,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,,30m,,NON RESPECT,,,,0,0
EURUSD,Gains,"3,99",Achat ⬆️,Tendance haussière 📈,Swing 🔴,https://www.tradingview.com/x/tJMWWz6P/,,,RESPECT DE LA STRATEGIE,,,,1,0
EURUSD,Observation,,Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-17_21-33-03_2dadd.png,30m,,"respect de ma strat, mais le trade n’est pas venu dans mes zones dommage",,,,0,0
GBPUSD,Take profit,"3,08",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-17_21-47-02_f1682.png,30m,,"Respect de ma stratégie, parfait mais il faut encor je travail mes zones d’entré je rate assez trop d’objectif, mais je maîtrise deja les zones ote et j’identfiié assez bien les breaker, pour le sl faut encor travaillé mais sinon mes target sont assez bonnes",,,,1,0
GBPUSD,Take profit,"3,36",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-17_21-58-20_f5aa8.png,30m,,"RESPECT DE LA STRAT AVEC BRILLO, je dois encor m’améliorer pour les corrélation",,,,1,0
GBPUSD,Take profit,"3,66",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-17_21-58-20_f5aa8%201.png,30m,,UN HADING,,,,1,0
GBPUSD,Take profit,"2,35",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-17_22-11-20_a2fa6.png,30m,,RESPECT DE LA STRAT AIS FAUDRA QUE JE VERIFIE SI LE PDH/L se comporte exactement comme sa en en backtesting,,,,1,0
EURUSD,Take profit,"3,65",Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-18_20-47-43_2027e.png,1h,LONDON,"ICI, je m’habitue beaucoup plus a mon biais du prevous daily et aussi un peu au previous weekly, ensuite je me fie a la tendance si c’est en accord j’y vais, et quand c’est désaccords je cherche une confluence qui eut servir de retournement, price action + smc 
aussi normalement je devais prendre le trade sur GBPUSD mais j’ai regardé la correlation sur EURUSD et remarqué que c’tais EURUSD qui avait plus de puissance en ce moment là",,,,1,0
EURUSD,Stop loss,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/1N7Wji5K/,2h,LONDON,"bon ici j’avoue j’avais pas reunis assez de confirmation, notament un signal que le marché allais vraiment repartir a la hausse , et aussi je me suis positioné sur time frame un peu con parce que la tf superieur me montré au contraire que j’avais encor de la marge",,,,0,0
EURUSD,Take profit,"5,6",Achat ⬆️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-18_21-22-59_c2db2.png,,,,,,,1,0
EURUSD,Take profit,"3,14",Achat ⬆️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-19_18-59-13_0d9ce.png,,,,,,,1,0
GBPUSD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_21-51-27_afaa7.png,2h,LONDON,"ici pas le bon timing, mais ma vision etait bonne",,,,0,0
GBPUSD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_22-01-12_99835.png,1h,LONDON,"ici je vais être sincère je suis pas sûr que j’aurais pris le trade en temps réel , parce que tous d’abord, le prix etait trop brutal afin que je puisse le choper en pleine descente, mes zones d’ote  rien etait optimisé, et aussi mon tp etais mal placé j’ai pas respecté mes règle de target alors qu’il avais un bon ob que le prix devais chercher et reagir sur ce dernier",,,,0,0
GBPUSD,Take profit,"3,01",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_22-15-17_ceed5.png,3h,LONDON,"j’ai appris que une fois en réel je dois apprendre a attendre que la bougie se clôture avant de prendre mon Trade, et aussi le prix est revenu sur ma formation unicorne ma meilleur configuration jusqu’à présent mais je dois vraiment appliqué le regard sur 
-BOS
-zone OTE
-formation de mes zones BB, IFVG, fvg ou ob etc 
-Surveillez aussi mes zones",,,,1,0
GBPUSD,Take profit,"2,31",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_22-58-05_43a98.png,3h,LONDON,"tendance + Biais, attendre que le prix revienne sur mes zones qui doivent t’être en OTE, entre temps un MSS doit être effectué, et je vise des liquidité interne ou externe comme target",,,,1,0
GBPUSD,Take profit,"2,99",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_22-58-05_43a98%201.png,3h,NY,pareil,,,,1,0
GBPUSD,Take profit,"2,98",Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GBPUSD_2025-03-19_23-34-59_87ef7.png,1h,NY,PARFAIT RESPECT DE LA STRATEGIE,,,,1,0
XAUUSD,Take profit,"3,95",Vente ⬇️,Tendance baissière 📉,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/GOLD_2025-03-24_19-12-33_7dba8.png,2h,NY+C_LONDON,PARFAIT RESPECT DE LA STRAT TECHINIQUE  mais bon l’analyse sentimental etais en nega comme même,,,,1,0
EURUSD,Stop loss,,Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,,1h,LONDON+NY,J’avoue ici je me suis precipité et j’tais pas en zone ote,,,,0,0
EURUSD,Take profit,"3,33",Achat ⬆️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-25_20-10-57_816fd.png,1h,NY+C_LONDON,PARFAIT RESPECT DE LA STRAT,,,,1,0
EURUSD,Take profit,"2,24",Achat ⬆️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-25_20-10-57_816fd%201.png,1h,NY+C_LONDON,ADDING QUI SUIVAIS BON BIAIS,,,,1,0
EURUSD,Take profit,"6,9",Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/EURUSD_2025-03-25_20-20-02_3ad12.png,1h,NY+C_LONDON,"PARFAIT RESPECT DE LA STRATEGIE
APPREND A ATTENDRE QUE LA BOUGIE SE TERMINE QUAND LE MOMETUM EST FORT SA TE PERMET DE FAIRE UN SL SUIVEUR",,,,1,0
USDCAD,Take profit,"3,18",Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCAD_2025-03-25_21-41-24_b00d8.png,1h,NY+C_LONDON,RESPECT DE LA STRAT,,,,1,0
USDCHF,Take profit,"3,08",Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCHF_2025-03-25_21-43-50_3ab22.png,1h,NY+C_LONDON,RESPECT DE LA STRAT,,,,1,0
USDJPY,Gains,,Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDJPY_2025-03-25_21-45-38_568e7.png,1h,NY+C_LONDON,Le marché c’est retourné j’ai pue l’ancipé grâce a mon PDH/PDL,,,,0,0
USDJPY,Gains,,Vente ⬇️,Tendance baissière 📉,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDJPY_2025-03-25_21-45-38_568e7%201.png,1h,NY+C_LONDON,,,,,0,0
USDCAD,Take profit,"3,64",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCAD_2025-03-30_15-27-05_e7215.png,2h,NY+C_LONDON,,,,,1,0
USDCAD,Take profit,"3,24",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCAD_2025-03-30_15-42-38_740f6.png,2h,NY+C_LONDON,"j’ai suivie le BIAIS DAILY, ensuite j’ai chercher des PD ARRAY EN BIG TF (2h) et j’ai pris position en petite time frame comme 10-15 min et j’ai visé un ancien plus haut ",,,,1,0
USDCAD,Take profit,"2,71",Achat ⬆️,Tendance haussière 📈,Intra Day 🔵,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCAD_2025-03-30_15-56-56_99123.png,2h,NY+C_LONDON,"J’ai remarqué jeprend d’excllence confluence quand je rentre en petite time frame 15 min et USDCAD est bon a partir de la session NY et CLOSING ",,,,1,0
USDCAD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/PwD46Sm6/,1h,NY+C_LONDON,"bon ici le marché ma juste sortie mon sl etait mal placé bref sa arrive, mais ensuite il a pris la direction que j’ai voulue mais a l’allure que je vois même mon tp il a crâné lol",,,,0,0
USDCAD,Stop loss,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/UvOT2yCz/,1h,NY+C_LONDON,humm mon Biais daily n’tais pas fameux a l’avenir je ferai gaffe,,,,0,0
USDCAD,Observation,,,Tendance haussière 📈,Intra Day 🔵,https://www.tradingview.com/x/bMQXkvsK/,1h,NY+C_LONDON,"il n’est pas revenue sur mes zones, mais bonne vision comme même",,,,0,0
USDCAD,Gains,,Vente ⬇️,Tendance haussière 📈,Intra Day 🔵,,,,,,,,0,0
USDCAD,Take profit,"3,38",Achat ⬆️,Tendance haussière 📈,Swing 🔴,Backtesting%20Salside%204a12e765dc4542c396755acead7a66bb/USDCAD_2025-03-30_16-50-31_63230.png,1h,NY+C_LONDON,RESPECT DE LA STRAT ET DU BIAIS DAILY,,,,1,0
USDCAD,Take profit,"3,78",Achat ⬆️,Tendance haussière 📈,Swing 🔴,,1h,NY+C_LONDON,TRADE PLACE AU DESSUS,20-mars2024,,,1,0
